investor_id,total_transactions,avg_gap_days,max_gap_days,at_risk
INV000002,6,82.8,114.0,True
INV000004,9,53.375,265.0,True
INV000005,8,52.0,167.0,True
INV000006,6,99.0,295.0,True
INV000008,8,50.285714285714285,107.0,True
INV000009,7,80.83333333333333,162.0,True
INV000010,11,32.8,121.0,True
INV000011,11,45.2,122.0,True
INV000012,11,41.4,104.0,True
INV000013,10,36.888888888888886,99.0,True
INV000014,11,47.1,119.0,True
INV000020,6,57.8,122.0,True
INV000021,6,75.4,137.0,True
INV000022,6,95.8,178.0,True
INV000023,10,45.55555555555556,115.0,True
INV000024,8,43.285714285714285,167.0,True
INV000026,7,72.33333333333333,145.0,True
INV000027,7,58.5,140.0,True
INV000028,9,58.5,232.0,True
INV000029,11,36.4,71.0,True
INV000030,12,38.27272727272727,92.0,True
INV000031,6,85.0,262.0,True
INV000032,8,67.71428571428571,166.0,True
INV000033,11,46.2,87.0,True
INV000038,7,64.16666666666667,183.0,True
INV000039,8,52.857142857142854,94.0,True
INV000040,10,51.55555555555556,118.0,True
INV000041,6,68.6,144.0,True
INV000044,6,89.0,290.0,True
INV000045,10,39.22222222222222,70.0,True
INV000046,7,72.0,292.0,True
INV000048,11,36.8,120.0,True
INV000051,6,63.2,167.0,True
INV000052,10,46.0,129.0,True
INV000054,7,56.0,103.0,True
INV000055,12,36.36363636363637,107.0,True
INV000056,8,66.85714285714286,161.0,True
INV000057,11,34.8,65.0,True
INV000058,7,56.833333333333336,121.0,True
INV000062,8,66.28571428571429,148.0,True
INV000065,6,91.8,122.0,True
INV000066,7,40.833333333333336,115.0,True
INV000069,12,40.18181818181818,110.0,True
INV000071,7,14.333333333333334,56.0,True
INV000072,10,46.666666666666664,188.0,True
INV000073,10,45.666666666666664,112.0,True
INV000074,11,50.8,191.0,True
INV000075,7,62.333333333333336,87.0,True
INV000076,9,58.375,148.0,True
INV000079,9,56.125,120.0,True
INV000081,11,48.8,167.0,True
INV000082,9,62.75,225.0,True
INV000084,7,76.5,155.0,True
INV000085,8,52.142857142857146,135.0,True
INV000086,12,36.54545454545455,102.0,True
INV000087,10,51.55555555555556,103.0,True
INV000089,11,49.1,130.0,True
INV000090,7,48.5,148.0,True
INV000091,12,45.63636363636363,112.0,True
INV000093,10,49.333333333333336,111.0,True
INV000094,11,44.8,173.0,True
INV000095,9,52.375,155.0,True
INV000097,11,45.7,183.0,True
INV000098,7,66.83333333333333,111.0,True
INV000099,8,52.42857142857143,178.0,True
INV000100,8,61.42857142857143,155.0,True
INV000101,12,42.18181818181818,102.0,True
INV000102,11,45.7,97.0,True
INV000103,8,63.857142857142854,137.0,True
INV000104,12,45.0,79.0,True
INV000105,10,44.333333333333336,87.0,True
INV000108,9,45.625,165.0,True
INV000109,10,41.111111111111114,63.0,True
INV000113,9,55.625,144.0,True
INV000115,6,94.0,136.0,True
INV000117,8,54.857142857142854,124.0,True
INV000118,6,50.6,152.0,True
INV000123,9,44.75,138.0,True
INV000124,6,86.8,210.0,True
INV000125,7,57.166666666666664,92.0,True
INV000128,10,45.55555555555556,129.0,True
INV000129,11,49.1,105.0,True
INV000130,10,38.22222222222222,97.0,True
